fold,train_upto,val_year,rmse,mae,r2,nrmse_range,nrmse_mean,time_s
1,1999,2000,4421.163884703361,755.4655397816392,0.9868232313582926,0.004851224979100632,0.35103290926900055,30.251187801361084
2,2000,2001,3624.761321302897,736.0614656395634,0.9915221542295166,0.0037849715991517944,0.29150681518716837,39.52749705314636
3,2001,2002,3444.765384598306,630.862307146607,0.9891479192512881,0.0044312332332946645,0.3620228845488139,51.06142067909241
4,2002,2003,3482.2449823738334,612.802743930808,0.9900084308783801,0.0034133633107626435,0.3495405839945602,67.65012979507446
5,2003,2004,3694.9665762739746,712.8440673933825,0.9908094156383846,0.00430737894643003,0.30471684963054374,79.46134376525879
